,voltage,shift
0,2.93,38.0
1,2.93,-2.0
2,-5.57,6.0
3,-5.57,15.0
4,1.67,0.0
5,1.67,
6,0.0,
7,3.95,
8,3.95,
9,-4.37,
10,-4.37,
11,2.87,
12,2.87,
13,0.0,
14,4.52,
15,3.09,
