,voltage,shift
0,4.1,43.0
1,4.34,31.0
2,-3.15,95.0
3,-3.78,12.0
4,4.07,0.0
5,4.22,
6,0.0,
7,1.92,
8,1.56,
9,-3.65,
10,-3.98,
11,1.77,
12,1.62,
13,0.0,
14,1.06,
15,2.71,
