,voltage,shift
0,4.0,64.0
1,4.24,-9.0
2,-3.26,7.0
3,-3.81,0.0
4,3.89,2.0
5,4.04,
6,0.0,
7,2.1,
8,1.74,
9,-3.62,
10,-3.87,
11,1.87,
12,1.72,
13,0.0,
14,2.31,
15,3.82,
