,voltage,shift
0,0.35,0.0
1,0.35,-5.0
2,-0.07,4.0
3,-0.07,3.0
4,0.05,0.0
5,0.05,
6,0.0,
7,-0.05,
8,-0.05,
9,-0.47,
10,-0.47,
11,-0.35,
12,-0.35,
13,0.0,
14,-0.2,
15,0.2,
