,voltage,shift
0,2.66,-52.0
1,2.9,89.0
2,-3.99,47.0
3,-4.14,0.0
4,3.11,2.0
5,3.26,
6,0.0,
7,2.8,
8,2.44,
9,-3.33,
10,-3.18,
11,3.13,
12,2.98,
13,0.0,
14,1.73,
15,2.22,
