,voltage,shift
0,3.86,9.0
1,4.1,-18.0
2,-3.29,2.0
3,-3.84,0.0
4,3.91,2.0
5,4.06,
6,0.0,
7,2.24,
8,1.88,
9,-3.51,
10,-3.76,
11,2.17,
12,2.04,
13,0.0,
14,1.35,
15,2.76,
