,voltage,shift
0,1.72,51.0
1,1.96,0.0
2,-4.46,0.0
3,-4.61,0.0
4,2.17,2.0
5,2.32,
6,0.0,
7,3.74,
8,3.38,
9,-2.86,
10,-2.71,
11,4.07,
12,3.92,
13,0.0,
14,2.15,
15,0.9,
