,voltage,shift
0,2.3,47.0
1,2.2,-20.0
2,-4.3,6.0
3,-4.4,28.0
4,2.65,0.0
5,2.75,
6,0.8,
7,3.35,
8,3.25,
9,-3.1,
10,-3.2,
11,3.55,
12,3.65,
13,0.8,
14,3.24,
15,2.64,
