,voltage,shift
0,0.0,18.0
1,2.28,-3.0
2,2.28,8.0
3,-4.42,0.0
4,-4.42,22.0
5,2.52,
6,2.52,
7,0.0,
8,3.98,
9,3.98,
10,-2.38,
11,-2.38,
12,4.4,
13,4.4,
14,2.29,
15,1.08,
