,voltage,shift
0,2.63,-35.0
1,2.63,2.0
2,-5.31,4.0
3,-5.31,11.0
4,1.77,0.0
5,1.77,
6,0.0,
7,3.85,
8,3.85,
9,-3.91,
10,-3.91,
11,3.17,
12,3.17,
13,0.0,
14,4.4,
15,2.97,
