,voltage,shift
0,0.33,0.0
1,0.33,0.0
2,-2.15,0.0
3,-2.15,0.0
4,1.53,0.0
5,1.53,
6,0.0,
7,1.91,
8,1.91,
9,-0.55,
10,-0.55,
11,3.11,
12,3.11,
13,0.0,
14,1.09,
15,0.57,
