,voltage,shift
0,0.33,0.0
1,0.33,0.0
2,-1.8,0.0
3,-1.8,0.0
4,1.8,0.0
5,1.53,
6,0.0,
7,1.91,
8,1.91,
9,-0.55,
10,-0.55,
11,2.2,
12,2.0,
13,0.0,
14,1.09,
15,0.57,
