,voltage,shift
0,1.68,100.0
1,1.68,0.0
2,-4.72,0.0
3,-4.72,0.0
4,1.92,0.0
5,1.92,
6,0.0,
7,3.7,
8,3.7,
9,-2.52,
10,-2.52,
11,4.12,
12,4.12,
13,0.0,
14,1.72,
15,0.45,
