,voltage,shift
0,0.0,-40.0
1,2.68,22.0
2,2.3,-31.0
3,-4.41,0.0
4,-4.41,12.0
5,2.54,
6,2.68,
7,0.0,
8,3.72,
9,3.56,
10,-2.59,
11,-2.59,
12,3.98,
13,4.32,
14,2.78,
15,1.11,
