,voltage,shift
0,3.9,43.0
1,4.14,32.0
2,-3.37,97.0
3,-3.52,0.0
4,4.35,0.0
5,4.5,
6,0.0,
7,1.64,
8,1.28,
9,-3.91,
10,-3.76,
11,1.97,
12,1.82,
13,0.0,
14,1.07,
15,2.7,
