,voltage,shift
0,0.0,42.0
1,2.42,-1.0
2,2.42,25.0
3,-4.35,0.0
4,-4.35,12.0
5,2.66,
6,2.66,
7,0.0,
8,3.44,
9,3.44,
10,-2.65,
11,-2.65,
12,3.86,
13,3.86,
14,2.55,
15,1.3,
