,voltage,shift
0,3.82,31.0
1,4.06,23.0
2,-3.31,2.0
3,-3.86,0.0
4,3.87,6.0
5,4.02,
6,0.0,
7,1.96,
8,1.6,
9,-3.65,
10,-3.9,
11,1.89,
12,1.76,
13,0.0,
14,1.64,
15,2.91,
