,voltage,shift
0,3.8,5.0
1,4.04,-6.0
2,-3.32,-1.0
3,-3.87,0.0
4,3.85,6.0
5,4.0,
6,0.0,
7,1.98,
8,1.62,
9,-3.64,
10,-3.89,
11,1.91,
12,1.78,
13,0.0,
14,1.11,
15,2.72,
