,voltage,shift
0,2.08,-35.0
1,2.08,2.0
2,-4.32,4.0
3,-4.32,0.0
4,2.32,0.0
5,2.32,
6,0.0,
7,3.3,
8,3.3,
9,-2.92,
10,-2.92,
11,3.72,
12,3.72,
13,0.0,
14,4.4,
15,2.97,
