,voltage,shift
0,3.96,9.0
1,4.2,17.0
2,-3.24,1.0
3,-3.79,0.0
4,4.01,2.0
5,4.16,
6,0.0,
7,2.14,
8,1.78,
9,-3.56,
10,-3.81,
11,2.07,
12,1.94,
13,0.0,
14,1.36,
15,2.75,
