,voltage,shift
0,2.76,-52.0
1,3.0,-88.0
2,-3.94,-42.0
3,-4.09,0.0
4,3.21,2.0
5,3.36,
6,0.0,
7,2.7,
8,2.34,
9,-3.38,
10,-3.23,
11,3.03,
12,2.88,
13,0.0,
14,1.72,
15,2.23,
