,voltage,shift
0,4.06,0.0
1,4.3,0.0
2,-3.19,0.0
3,-3.74,0.0
4,4.11,0.0
5,4.26,
6,0.0,
7,1.88,
8,1.52,
9,-3.69,
10,-3.94,
11,1.81,
12,1.66,
13,0.0,
14,1.44,
15,2.77,
