,voltage,shift
0,1.68,-100.0
1,1.98,-12.0
2,-4.42,15.0
3,-4.57,0.0
4,2.07,0.0
5,2.22,
6,0.3,
7,3.7,
8,3.4,
9,-2.82,
10,-2.67,
11,3.97,
12,3.82,
13,-0.3,
14,1.6,
15,0.57,
