,voltage,shift
0,0.9,0.0
1,2.58,0.0
2,2.58,0.0
3,-3.82,0.0
4,-3.82,0.0
5,2.82,
6,1.92,
7,-0.9,
8,2.8,
9,2.8,
10,-3.42,
11,-3.42,
12,3.22,
13,4.12,
14,2.28,
15,1.57,
