,voltage,shift
0,0.0,-3.0
1,1.68,-7.0
2,1.68,0.0
3,-4.72,0.0
4,-4.72,0.0
5,1.92,
6,1.92,
7,0.0,
8,3.7,
9,3.7,
10,-2.52,
11,-2.52,
12,4.12,
13,4.12,
14,2.16,
15,1.45,
