,voltage,shift
0,0.28,0.0
1,0.28,0.0
2,-1.85,-1.0
3,-1.85,0.0
4,1.75,0.0
5,1.48,
6,0.0,
7,1.96,
8,1.96,
9,-0.5,
10,-0.5,
11,2.25,
12,2.05,
13,0.0,
14,1.09,
15,0.57,
