,voltage,shift
0,0.0,45.0
1,1.7,-3.0
2,1.7,1.0
3,-4.71,0.0
4,-4.71,0.0
5,1.94,
6,1.94,
7,0.0,
8,3.68,
9,3.68,
10,-2.53,
11,-2.53,
12,4.1,
13,4.1,
14,2.56,
15,1.35,
